12月13日 ( 土 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
12:50～,【栃木県】 やな 和生 （3区）,"デニーズ大田原店前交差点
 （ 大田原市本町1-2960-26 ）",街頭演説会
13:20～,【栃木県】 やな 和生 （3区）,"スーパーオータニ 三島店
 （ 那須塩原市東三島5-89-1 ）",街頭演説会
15:00～,【埼玉県】 牧原 ひでき （5区）,大宮駅東口,街頭演説会
17:35～,【神奈川県】 中山 のりひろ （9区）,新百合ヶ丘駅北口,街頭演説会
18:50～,【神奈川県】 星野 つよし （12区）,ＪＲ藤沢駅北口デッキ,街頭演説会
たなはし やすふみ,,,
棚橋 泰文幹事長代理,,,
開始時間,候補者,演説場所,用務
12:00～,【北海道】 ほりい 学 （9区）,"堀井学事務所
 （ 苫小牧市若草町3-1-4 ）",事務所激励
12:50～,【北海道】 ほりい 学 （9区）,"暖中前
 （ 苫小牧市明野新町1丁目1 ）",街頭演説
13:30～,【北海道】 ほりい 学 （9区）,"イートアップ前
 （ 苫小牧市柳町1丁目5-14 ）",街頭演説
はやし よしまさ,,,
林 芳正前農林水産大臣,,,
開始時間,候補者,演説場所,用務
11:15～,【埼玉県】 牧原 ひでき （5区）,"JA馬宮
 （ さいたま市西区大字西遊馬231-1 ）",街頭演説会
13:00～,【埼玉県】 村井 ひでき （1区）,東武線　岩槻駅前,街頭演説会
14:30～,【埼玉県】 今野 ともひろ （11区）,高崎線　深谷駅前北口ロータリー,街頭演説会
かみかわ ようこ,,,
上川 陽子法務大臣,,,
開始時間,候補者,演説場所,用務
12:00～,【大阪府】 佐藤 ゆかり （11区）,"くずはモール
 （ 枚方市楠葉花園町15-1 ）",街頭演説会
もり まさこ,,,
森 まさこ前少子化担当大臣,,,
開始時間,候補者,演説場所,用務
11:35～,【秋田県】 みのり川 信英 （3区）,"株式会社 響屋前
 （ 大仙市長戸呂字ハサバ長根1-5 ）",街頭演説
12:10～,【秋田県】 みのり川 信英 （3区）,"大同衣料大曲工場前
 （ 大仙市花館字鶴田12 ）",街頭演説
12:20～,【秋田県】 みのり川 信英 （3区）,"ビフレ大曲店前
 （ 大仙市高関上郷字不動堂172-1 ）",街頭演説
17:00～,【福島県】 亀岡 よしたみ （1区）,"保原中央公民館前
 （ 伊達市保原町字宮下111-4 ）",街頭演説会
19:00～,【福島県】 亀岡 よしたみ （1区）,"まちなか広場前
 （ 福島市本町 ）",街頭演説会
12月12日 ( 金 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
開始時間,候補者,演説場所,用務
10:50～,【山形県】 かとう 鮎子 （3区）,"イオン酒田南店前
 （ 酒田市あきほ町120-1 ）",街頭演説会
13:00～,【山形県】 すずき のりかず （2区）,さくらんぼ東根駅東口,街頭演説会
16:10～,【栃木県】 西川 こうや （2区）,JR今市駅前,街頭演説会
18:30～,【埼玉県】 村井 ひでき （1区）,浦和駅東口,街頭演説会
あそう たろう,,,
麻生 太郎副総理・財務大臣,,,
開始時間,候補者,演説場所,用務
13:00～,【兵庫県】 やまだ 賢司 （7区）,"阪急西宮ガーデンズ北側
 （ 西宮市高松町14-2 ）",街頭演説会
